!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM         UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
37    10    1     4.7880E-14 4.7871E-14 4.7860E-14 4.8991E-14 5.0220E-14 5.3692E-14 5.6300E-14 6.5630E-14 9.4250E-14 1.3570E-13 2.1900E-13 3.9510E-13 5.8970E-13 9.6390E-13 1.5670E-12 2.0320E-12 2.5720E-12 3.1260E-12 3.5900E-12 3.9490E-12 3.9490E-12 3.9490E-12 3.9490E-12 3.9490E-12 3.9490E-12 
38    10    2     2.2150E-13 2.1927E-13 2.1650E-13 2.1882E-13 2.2130E-13 2.3103E-13 2.3820E-13 2.6670E-13 3.5190E-13 4.6700E-13 6.7890E-13 1.0840E-12 1.4980E-12 2.2340E-12 3.2670E-12 3.9350E-12 4.6550E-12 5.5440E-12 6.2760E-12 7.1170E-12 7.1170E-12 7.1170E-12 7.1170E-12 7.1170E-12 7.1170E-12 
39    10    3     8.8650E-13 8.7996E-13 8.7180E-13 8.8222E-13 8.9340E-13 9.2802E-13 9.5340E-13 1.0490E-12 1.3240E-12 1.6810E-12 2.3130E-12 3.4730E-12 4.6240E-12 6.6770E-12 9.8210E-12 1.2150E-11 1.4740E-11 1.7304E-11 1.9390E-11 2.0900E-11 2.0900E-11 2.0900E-11 2.0900E-11 2.0900E-11 2.0900E-11 
40    10    4     2.2430E-12 2.2136E-12 2.1770E-12 2.1823E-12 2.1880E-12 2.2084E-12 2.2230E-12 2.3130E-12 2.5900E-12 2.9270E-12 3.4550E-12 4.2900E-12 5.0450E-12 6.3850E-12 8.6560E-12 1.0530E-11 1.2810E-11 1.5431E-11 1.7610E-11 1.9760E-11 1.9760E-11 1.9760E-11 1.9760E-11 1.9760E-11 1.9760E-11 
41    10    5     7.1750E-12 7.1292E-12 7.0720E-12 7.1334E-12 7.1990E-12 7.3344E-12 7.4320E-12 7.7970E-12 8.7710E-12 9.9080E-12 1.1690E-11 1.4510E-11 1.6970E-11 2.0940E-11 2.6530E-11 3.0350E-11 3.4310E-11 3.7926E-11 4.0720E-11 4.2290E-11 4.2290E-11 4.2290E-11 4.2290E-11 4.2290E-11 4.2290E-11 
42    10    6     1.4530E-11 1.4486E-11 1.4430E-11 1.4565E-11 1.4710E-11 1.4593E-11 1.4510E-11 1.4270E-11 1.4060E-11 1.4060E-11 1.4240E-11 1.4800E-11 1.5640E-11 1.7850E-11 2.2770E-11 2.7150E-11 3.2340E-11 3.7719E-11 4.2070E-11 4.5630E-11 4.5630E-11 4.5630E-11 4.5630E-11 4.5630E-11 4.5630E-11 
43    10    7     3.2540E-11 3.2703E-11 3.2910E-11 3.3439E-11 3.4010E-11 3.4476E-11 3.4810E-11 3.5410E-11 3.6710E-11 3.8160E-11 4.0370E-11 4.3660E-11 4.6370E-11 5.0560E-11 5.6200E-11 5.9960E-11 6.3780E-11 6.6987E-11 6.9360E-11 6.9380E-11 6.9380E-11 6.9380E-11 6.9380E-11 6.9380E-11 6.9380E-11 
44    10    8     7.7160E-11 7.8940E-11 8.1240E-11 8.3973E-11 8.6970E-11 8.7069E-11 8.7140E-11 8.4270E-11 7.9110E-11 7.5810E-11 7.3300E-11 7.2720E-11 7.4230E-11 7.9270E-11 8.9580E-11 9.7940E-11 1.0740E-10 1.1671E-10 1.2380E-10 1.2740E-10 1.2740E-10 1.2740E-10 1.2740E-10 1.2740E-10 1.2740E-10 
45    10    9     5.7620E-11 6.0235E-11 6.3700E-11 6.7593E-11 7.1980E-11 7.6383E-11 7.9670E-11 8.2090E-11 8.3050E-11 8.3280E-11 8.3850E-11 8.5280E-11 8.6820E-11 8.9710E-11 9.4450E-11 9.8060E-11 1.0190E-10 1.0434E-10 1.0610E-10 1.0260E-10 1.0260E-10 1.0260E-10 1.0260E-10 1.0260E-10 1.0260E-10 
46    11    1     1.9350E-14 1.9368E-14 1.9390E-14 1.9860E-14 2.0370E-14 2.1713E-14 2.2720E-14 2.6440E-14 3.8450E-14 5.6630E-14 9.4890E-14 1.8180E-13 2.8520E-13 4.9670E-13 8.3100E-13 1.0480E-12 1.2610E-12 1.4883E-12 1.6740E-12 1.8870E-12 1.8870E-12 1.8870E-12 1.8870E-12 1.8870E-12 1.8870E-12 
47    11    2     1.1100E-13 1.1091E-13 1.1080E-13 1.1315E-13 1.1570E-13 1.2213E-13 1.2690E-13 1.4450E-13 1.9980E-13 2.8020E-13 4.4270E-13 7.9420E-13 1.1960E-12 2.0060E-12 3.3830E-12 4.4650E-12 5.7380E-12 7.1064E-12 8.2710E-12 9.2780E-12 9.2780E-12 9.2780E-12 9.2780E-12 9.2780E-12 9.2780E-12 
48    11    3     3.4910E-13 3.4576E-13 3.4160E-13 3.4474E-13 3.4810E-13 3.5881E-13 3.6660E-13 4.0030E-13 5.0550E-13 6.4800E-13 9.0810E-13 1.4060E-12 1.9220E-12 2.8810E-12 4.3460E-12 5.3630E-12 6.4690E-12 7.7547E-12 8.8190E-12 1.0000E-11 1.0000E-11 1.0000E-11 1.0000E-11 1.0000E-11 1.0000E-11 
49    11    4     1.2930E-12 1.2854E-12 1.2760E-12 1.2914E-12 1.3080E-12 1.3445E-12 1.3710E-12 1.4770E-12 1.7920E-12 2.2000E-12 2.9120E-12 4.1930E-12 5.4480E-12 7.6880E-12 1.1170E-11 1.3790E-11 1.6730E-11 1.9715E-11 2.2150E-11 2.4060E-11 2.4060E-11 2.4060E-11 2.4060E-11 2.4060E-11 2.4060E-11 
